T13CC 1198:857 SEGGER J-Link V4.80f Log File (0000ms, 22789ms total)
T13CC 1198:857 DLL Compiled: Feb  5 2014 10:36:54 (0000ms, 22789ms total)
T13CC 1198:857 Logging started @ 2015-06-24 01:04 (0000ms, 22789ms total)
T13CC 1198:857 JLINK_ExecCommand("Device = AT91SAM4SD32C", ...)Device "ATSAM4SD32C" selected (2048 KB flash, 160 KB RAM).  returns 0x00 (0004ms, 22793ms total)
T13CC 1199:003 JLINK_WriteMem(0xE0001048, 0x0004 Bytes, ...) -- Data:  00 01 00 00 -- CPU is running -- CPU_WriteMem(4 bytes @ 0xE0001048)  returns 0x04 (0002ms, 22936ms total)
T13CC 1199:005 JLINK_ReadMem (0xE0001048, 0x0004 Bytes, ...) -- CPU is running -- CPU_ReadMem(4 bytes @ 0xE0001048) -- Data:  00 00 00 00  returns 0x00 (0001ms, 22937ms total)
T13CC 1199:006 JLINK_ReadMem (0xE0001058, 0x0004 Bytes, ...) -- CPU is running -- CPU_ReadMem(4 bytes @ 0xE0001058) -- Data:  00 00 00 00  returns 0x00 (0002ms, 22939ms total)
T13CC 1199:008 JLINK_WriteMem(0xE0001058, 0x0004 Bytes, ...) -- Data:  00 01 00 00 -- CPU is running -- CPU_WriteMem(4 bytes @ 0xE0001058)  returns 0x04 (0001ms, 22940ms total)
T13CC 1199:009 JLINK_ReadMem (0xE0001058, 0x0004 Bytes, ...) -- CPU is running -- CPU_ReadMem(4 bytes @ 0xE0001058) -- Data:  00 00 00 00  returns 0x00 (0002ms, 22942ms total)
T13CC 1199:011 JLINK_ReadMem (0xE0001024, 0x0004 Bytes, ...) -- CPU is running -- CPU_ReadMem(4 bytes @ 0xE0001024) -- Data:  00 00 00 00  returns 0x00 (0002ms, 22944ms total)
T13CC 1199:013 JLINK_WriteMem(0xE0001024, 0x0004 Bytes, ...) -- Data:  1F 00 00 00 -- CPU is running -- CPU_WriteMem(4 bytes @ 0xE0001024)  returns 0x04 (0002ms, 22946ms total)
T13CC 1199:015 JLINK_ReadMem (0xE0001024, 0x0004 Bytes, ...) -- CPU is running -- CPU_ReadMem(4 bytes @ 0xE0001024) -- Data:  0F 00 00 00  returns 0x00 (0001ms, 22947ms total)
T13CC 1199:016 JLINK_ReadMem (0xE0001034, 0x0004 Bytes, ...) -- CPU is running -- CPU_ReadMem(4 bytes @ 0xE0001034) -- Data:  00 00 00 00  returns 0x00 (0002ms, 22949ms total)
T13CC 1199:018 JLINK_WriteMem(0xE0001034, 0x0004 Bytes, ...) -- Data:  1F 00 00 00 -- CPU is running -- CPU_WriteMem(4 bytes @ 0xE0001034)  returns 0x04 (0001ms, 22950ms total)
